K_1	K_2	mean_K	sd_K	tot_K	H_1	H_2	Hsd_1	Hsd_2	mean_H	sd_H	tot_H	GW_1	GW_2	GWsd_1	GWsd_2	mean_GW	sd_GW	tot_GW	NGW_1	NGW_2	NGWsd_1	NGWsd_2	mean_NGW	sd_NGW	R_1	R_2	Rsd_1	Rsd_2	mean_R	sd_R	tot_R	FST_2_1	DMUSQ_2_1	
20.7	16.8	18.75	2.75772	27.3	0.965927	0.931282	0.0102561	0.0292303	0.948605	0.024498	0.950782	0.345546	0.428118	0.191634	0.244298	0.386832	0.0583871	0.438254	0.342175	0.273712	0.191411	0.149332	0.307944	0.0484101	76.8	57.1	43.7742	44.9307	66.95	13.93	77.5	0.00869381	71.0433	
17.5	11.3	14.4	4.38406	22.5	0.951815	0.865256	0.0102561	0.0464672	0.908535	0.0612058	0.926448	0.204173	0.234001	0.0712812	0.143296	0.219087	0.0210913	0.251677	0.200541	0.125403	0.066801	0.035609	0.162972	0.0531307	94.7	67.3	34.445	40.4614	81	19.3747	95.5	0.0480863	341.768	
13.8	11.5	12.65	1.62635	18.8	0.919355	0.858974	0.0321037	0.0729481	0.889165	0.0426954	0.902543	0.441858	0.502359	0.265498	0.324673	0.472108	0.0427805	0.539341	0.412478	0.340956	0.218293	0.192348	0.376717	0.0505738	46.6	38.4	40.8118	37.2326	42.5	5.79828	47.5	0.0365541	119.328	
18.6	18.9	18.75	0.212132	26.5	0.954637	0.942051	0.0130401	0.0186748	0.948344	0.00889951	0.952034	0.363329	0.448237	0.19999	0.245788	0.405783	0.0600389	0.485121	0.344512	0.347462	0.179591	0.176151	0.345987	0.00208577	73.1	64.4	53.2467	52.2775	68.75	6.15183	75.1	0.00920619	224.704	
7.1	5.1	6.1	1.41421	7.7	0.764718	0.673077	0.102451	0.122333	0.718897	0.0647998	0.724687	0.954167	0.879206	0.0746649	0.161625	0.916687	0.0530049	0.956667	0.880159	0.642183	0.111419	0.111101	0.761171	0.168275	6.6	5.2	2.59058	2.57337	5.9	0.989949	7.2	0.029929	0.741121	
16	19.7	17.85	2.6163	26.2	0.940121	0.949487	0.0111668	0.0144189	0.944804	0.00662291	0.954734	0.263571	0.333229	0.137966	0.1656	0.2984	0.0492558	0.406554	0.250828	0.302517	0.12623	0.140347	0.276672	0.0365498	76.2	73.9	38.4211	40.0179	75.05	1.62635	79	0.0194586	107.464	
24.9	26.7	25.8	1.27279	44.5	0.979435	0.976667	0.0113175	0.00404518	0.978051	0.00195785	0.981455	0.162628	0.181653	0.168523	0.168693	0.172141	0.0134527	0.247334	0.147871	0.167169	0.132913	0.173438	0.15752	0.0136463	250.3	220.5	136.211	114.044	235.4	21.0718	257.3	0.00722224	4485.76	
20.6	26.9	23.75	4.45477	38.4	0.963306	0.975256	0.0243387	0.00697118	0.969281	0.0084499	0.975509	0.400008	0.390015	0.146781	0.1023	0.395012	0.00706625	0.521028	0.276131	0.367736	0.0672816	0.0909749	0.321934	0.064774	57.2	74.7	22.0746	30.0298	65.95	12.3744	78.3	0.0112853	97.8464	
21.8	31.2	26.5	6.6468	45.2	0.969355	0.986667	0.0164836	0.00468919	0.978011	0.0122413	0.983529	0.113158	0.129815	0.0479898	0.0392308	0.121486	0.0117785	0.185608	0.0898266	0.126549	0.0315995	0.0394244	0.108188	0.0259666	236.2	266	124.013	108.443	251.1	21.0718	272.5	0.00915319	283.841	
17	15.7	16.35	0.919239	28.3	0.945766	0.922821	0.02252	0.0237385	0.934293	0.016225	0.955203	0.530352	0.552439	0.232961	0.145611	0.541395	0.0156175	0.47746	0.308301	0.274432	0.192646	0.155643	0.291366	0.023949	54.9	30.3	75.3296	14.5453	42.6	17.3948	88.7	0.0454013	3142.94	
21.3	23.7	22.5	1.69706	34.8	0.968952	0.965385	0.0155357	0.0132823	0.967168	0.00252225	0.969992	0.331732	0.378527	0.187019	0.205108	0.35513	0.033089	0.457098	0.290111	0.324296	0.169426	0.180811	0.307203	0.0241723	95.7	93.8	71.5791	74.4309	94.75	1.3435	103.2	0.00621403	297.495	
21.8	25.5	23.65	2.6163	37.2	0.96875	0.970513	0.0199869	0.0140961	0.969631	0.0012465	0.974139	0.20671	0.243197	0.151263	0.204373	0.224953	0.0258005	0.318355	0.190557	0.232844	0.134175	0.189917	0.211701	0.0299015	154.1	163.5	86.8606	94.4602	158.8	6.6468	166.5	0.00899357	256.518	
4.9	9.3	7.1	3.11127	10	0.632863	0.815897	0.195772	0.056679	0.72438	0.129425	0.755516	0.718727	0.86521	0.2372	0.131736	0.791969	0.103579	0.871745	0.453341	0.807743	0.170085	0.108462	0.630542	0.2506	7.1	10.1	5.25885	4.22821	8.6	2.12132	10.8	0.0531995	2.53715	
24.5	25.7	25.1	0.848528	40.8	0.979839	0.974744	0.00806452	0.00750119	0.977291	0.00360279	0.97989	0.257215	0.258619	0.0953771	0.0941206	0.257917	0.00099287	0.383528	0.234647	0.240954	0.0805294	0.0753265	0.237801	0.00446013	107.2	112.8	44.6164	52.7969	110	3.9598	117.3	0.00587306	83.7721	
16.2	13.5	14.85	1.90919	20.5	0.941734	0.905128	0.0191609	0.0299694	0.923431	0.0258841	0.930986	0.386071	0.332299	0.272708	0.240137	0.359185	0.0380225	0.458299	0.37124	0.302708	0.254826	0.210176	0.336974	0.0484596	74.9	73	68.58	68.4365	73.95	1.3435	76.1	0.0204795	490.663	
12.6	13.2	12.9	0.424264	17.9	0.896573	0.910513	0.0438845	0.0411359	0.903543	0.00985724	0.916706	0.509498	0.501096	0.242801	0.218492	0.505297	0.00594117	0.590951	0.435847	0.442871	0.192599	0.157382	0.439359	0.00496655	30.9	31.3	18.1809	17.1403	31.1	0.282843	33.6	0.0265807	7.86036	
17.6	16.5	17.05	0.777817	22.7	0.94496	0.932564	0.0308123	0.0212664	0.938762	0.008765	0.940376	0.480174	0.423496	0.237921	0.189342	0.451835	0.0400774	0.514348	0.405099	0.383035	0.166239	0.160616	0.394067	0.0156013	49.5	50.2	36.5369	33.7237	49.85	0.494975	53.9	0.00491866	20.2264	
14.4	17.4	15.9	2.12132	21.8	0.919758	0.938846	0.0243943	0.0157721	0.929302	0.0134973	0.939045	0.379118	0.396798	0.303585	0.289776	0.387958	0.0125013	0.468058	0.313316	0.384461	0.224195	0.275483	0.348889	0.0503075	93	95	105.269	101.343	94	1.41421	96.7	0.0182321	51.8713	
13.2	19.8	16.5	4.6669	25.8	0.913306	0.951026	0.0329095	0.0144138	0.932166	0.0266715	0.946518	0.224115	0.269898	0.0974888	0.129148	0.247007	0.0323738	0.330531	0.168616	0.25496	0.0765652	0.128472	0.211788	0.0610544	73.5	88.1	44.3778	44.6429	80.8	10.3238	92.4	0.0254048	49.4108	
21.2	22	21.6	0.565685	33.6	0.964315	0.960385	0.0208019	0.0149567	0.96235	0.00277886	0.967684	0.290863	0.307858	0.116454	0.125113	0.29936	0.0120172	0.419823	0.264835	0.277035	0.115774	0.123675	0.270935	0.00862643	87.8	84.4	49.0234	41.6499	86.1	2.40416	98.4	0.0114058	111.289	
11.6	10.1	10.85	1.06066	17.9	0.884879	0.848333	0.0397296	0.0278667	0.866606	0.0258417	0.915023	0.521881	0.684393	0.272216	0.246857	0.603137	0.114914	0.680353	0.456841	0.405068	0.225173	0.219031	0.430955	0.0366087	28.3	17.6	17.308	13.7615	22.95	7.56604	32.1	0.104471	368.372	
7.8	9.2	8.5	0.989949	10.3	0.811895	0.842821	0.0562516	0.0375835	0.827358	0.0218675	0.837872	0.838636	0.84418	0.116717	0.104521	0.841408	0.00392013	0.914004	0.703333	0.823074	0.149633	0.116905	0.763203	0.0846691	8.4	10.1	1.77639	2.42441	9.25	1.20208	10.4	0.020631	0.582188	
18.3	24.3	21.3	4.24264	33.4	0.952823	0.968333	0.0227742	0.0107102	0.960578	0.0109678	0.966315	0.30573	0.345201	0.227956	0.176164	0.325465	0.02791	0.44414	0.259967	0.324905	0.180345	0.171118	0.292436	0.0459176	86.7	91.1	51.5322	49.6912	88.9	3.11127	97	0.00997311	147.655	
16.8	15.9	16.35	0.636396	23.7	0.943347	0.920128	0.023977	0.0275901	0.931737	0.016418	0.938302	0.33687	0.350972	0.111777	0.157064	0.343921	0.00997172	0.423725	0.306003	0.289191	0.117052	0.111888	0.297597	0.0118876	56	54.6	25.399	27.6373	55.3	0.989949	62	0.0166545	25.497	
