K_1	K_2	mean_K	sd_K	tot_K	H_1	H_2	Hsd_1	Hsd_2	mean_H	sd_H	tot_H	GW_1	GW_2	GWsd_1	GWsd_2	mean_GW	sd_GW	tot_GW	NGW_1	NGW_2	NGWsd_1	NGWsd_2	mean_NGW	sd_NGW	R_1	R_2	Rsd_1	Rsd_2	mean_R	sd_R	tot_R	FST_2_1	DMUSQ_2_1		NPOP1	NPOP2	RSANC	Nem	T2	T1	MUTRATE	GEOM	MIG21
14.7	12.9	13.8	1.27279	19.4	0.926613	0.882564	0.0182618	0.0536055	0.904589	0.0311472	0.915923	0.263348	0.273503	0.178902	0.206948	0.268426	0.00718101	0.342334	0.251801	0.238839	0.181333	0.210441	0.24532	0.00916535	81.1	71.9	47.7434	47.6502	76.5	6.50538	86.9	0.029751	86.7676		58584	41929	37.9682118	9.2505100	24247	23774	9.58836e-04	0.1569293	2.20623e-04
19.3	22	20.65	1.90919	32	0.962097	0.959872	0.0128499	0.0172435	0.960984	0.0015733	0.969053	0.214905	0.429419	0.132396	0.241457	0.322162	0.151685	0.342485	0.204249	0.242974	0.114039	0.16359	0.223611	0.0273825	117	72.9	60.0444	51.6709	94.95	31.1834	119.2	0.016748	303.049		194658	114594	8.9808416	2.2067593	121579	77163	1.82628e-04	0.1377583	1.92572e-05
20.5	22.3	21.4	1.27279	33.3	0.964516	0.963462	0.0145136	0.0082258	0.963989	0.000745708	0.969405	0.320376	0.418864	0.204995	0.243649	0.36962	0.0696412	0.405309	0.244655	0.283105	0.162642	0.204886	0.26388	0.0271883	102.9	81.7	80.6687	60.7857	92.3	14.9907	122.4	0.0112184	323.845		46027	170222	22.0554775	4.5366523	97215	19343	8.41706e-04	0.1768422	2.66514e-05
9.1	7.3	8.2	1.27279	9.9	0.852218	0.784231	0.0519872	0.0680415	0.818224	0.048074	0.819914	0.865714	0.792094	0.129373	0.18695	0.828904	0.0520574	0.910833	0.835707	0.684957	0.124069	0.185649	0.760332	0.106596	9.6	8.5	2.41293	2.3214	9.05	0.777817	9.9	0.0134855	0.389316		96217	44463	49.8769010	1.6486918	47439	100323	8.00987e-04	0.2868160	3.70801e-05
21.3	18.6	19.95	1.90919	31.5	0.967137	0.939359	0.0117194	0.0311764	0.953248	0.0196421	0.963106	0.275531	0.561978	0.157729	0.143113	0.418754	0.202549	0.389906	0.266408	0.230804	0.148513	0.142387	0.248606	0.0251759	103.8	35	62.3463	14.8847	69.4	48.6489	105.3	0.0234533	834.232		13928	175783	29.9261339	5.1894413	18120	161877	8.48376e-04	0.2932056	2.95219e-05
19.2	23	21.1	2.68701	32	0.955847	0.961667	0.015572	0.0141923	0.958757	0.00411529	0.966432	0.346625	0.410142	0.215298	0.244173	0.378384	0.0449129	0.468326	0.278953	0.350319	0.147477	0.220053	0.314636	0.0504638	101.7	97.1	95.1234	89.9561	99.4	3.25269	108.8	0.0150576	388.853		13542	57601	38.9395422	7.3232950	32268	200559	8.88969e-04	0.1911118	1.27138e-04
17.8	22.8	20.3	3.53553	36.2	0.950403	0.963974	0.0222323	0.00880902	0.957189	0.00959624	0.974648	0.203056	0.39945	0.20825	0.196183	0.301253	0.138872	0.320914	0.158199	0.201701	0.110003	0.144751	0.17995	0.03076	152.1	89.2	95.7212	94.6312	120.65	44.477	161.4	0.0336082	2444.25		12776	115165	62.6744703	1.0721934	76371	119594	5.62807e-04	0.1716974	9.31006e-06
14.2	18.3	16.25	2.89914	24	0.921976	0.944615	0.0341891	0.0104295	0.933296	0.0160086	0.949531	0.393977	0.442979	0.265371	0.237702	0.418478	0.0346502	0.447196	0.265877	0.346612	0.16875	0.208103	0.306245	0.0570882	59.4	66.6	49.9048	61.9143	63	5.09117	81	0.0309363	145.916		28101	100090	62.6857119	6.7447009	118856	76688	5.07805e-04	0.1014505	6.73864e-05
12.1	18.8	15.45	4.73762	25.8	0.889718	0.948846	0.0440898	0.0152229	0.919282	0.0418101	0.952074	0.478589	0.569044	0.28375	0.199586	0.523817	0.0639617	0.565678	0.272943	0.414081	0.125139	0.159811	0.343512	0.0997997	40	41.9	38.4505	35.5792	40.95	1.3435	56.9	0.0598473	553.683		101152	160268	83.1981972	2.4038962	6482	72392	3.80944e-04	0.2548384	1.49992e-05
19.4	27.2	23.3	5.51543	45	0.95504	0.978077	0.0256796	0.00649376	0.966559	0.0162893	0.983216	0.335207	0.251276	0.244152	0.232484	0.293241	0.0593481	0.213629	0.105449	0.134368	0.118239	0.134983	0.119909	0.0204487	141.1	191.9	151.129	124.534	166.5	35.921	300.1	0.0306797	45462.3		157545	128867	82.7412282	6.7044999	58392	86435	8.82983e-04	0.1244684	5.20265e-05
