K_1	K_2	mean_K	sd_K	tot_K	H_1	H_2	Hsd_1	Hsd_2	mean_H	sd_H	tot_H	GW_1	GW_2	GWsd_1	GWsd_2	mean_GW	sd_GW	tot_GW	NGW_1	NGW_2	NGWsd_1	NGWsd_2	mean_NGW	sd_NGW	R_1	R_2	Rsd_1	Rsd_2	mean_R	sd_R	tot_R	FST_2_1	DMUSQ_2_1		NPOP1	NPOP2	RSANC	T1	MUTRATE	GEOM
10.3	18.7	14.5	5.9397	27	0.870766	0.943462	0.0559974	0.0241629	0.907114	0.0514034	0.954382	0.480186	0.289144	0.365101	0.204714	0.384665	0.135087	0.309213	0.138157	0.220675	0.128717	0.138189	0.179416	0.0583489	50.8	93.7	50.3892	58.2562	72.25	30.3349	113.2	0.086321	2771.68		15123	23458	5.8255319	100529	7.52215e-04	0.1728543
19.9	15.6	17.75	3.04056	31.4	0.960887	0.92641	0.0133464	0.0213692	0.943649	0.0243788	0.962872	0.259098	0.388026	0.139693	0.226667	0.323562	0.0911658	0.352817	0.221567	0.181708	0.0758336	0.0998527	0.201637	0.0281848	95	57.5	41.3011	38.8337	76.25	26.5165	99.3	0.0430082	592.814		32188	196258	50.2759681	173440	8.93976e-04	0.1473017
25.7	30	27.85	3.04056	52.8	0.984879	0.981667	0.00829912	0.00795033	0.983273	0.00227149	0.989006	0.150653	0.120641	0.0773627	0.0520101	0.135647	0.0212217	0.193951	0.0952484	0.111341	0.0391215	0.0466335	0.103295	0.011379	227.1	299.2	147.435	138.129	263.15	50.9824	317.7	0.011876	2766.21		105041	131872	66.0571766	52327	9.51660e-04	0.1077376
17.3	14.7	16	1.83848	30.6	0.948992	0.925128	0.0163253	0.0266962	0.93706	0.0168742	0.964632	0.611279	0.631009	0.203219	0.213212	0.621144	0.0139516	0.424235	0.241882	0.220959	0.150813	0.157734	0.23142	0.0147946	33.5	36.1	24.9544	50.9759	34.8	1.83848	116.7	0.0581605	13416.5		2234	87495	26.6825668	62866	3.70682e-04	0.2108022
22.8	24.8	23.8	1.41421	44.6	0.975202	0.965513	0.00931453	0.0145104	0.970357	0.00685101	0.982394	0.119724	0.123589	0.0565675	0.0500954	0.121657	0.00273309	0.186305	0.099506	0.104797	0.0543752	0.0483776	0.102151	0.00374117	236.2	240.7	124.479	126.744	238.45	3.18198	281.5	0.02527	5900.67		173633	69447	72.6841696	127537	3.01816e-04	0.1444721
19.2	15.4	17.3	2.68701	30.6	0.95746	0.928333	0.0176902	0.0226169	0.942897	0.0205954	0.962324	0.390814	0.636629	0.208183	0.140715	0.513721	0.173818	0.524416	0.343	0.27886	0.17529	0.177286	0.31093	0.0453538	67.5	24.5	46.3687	7.98958	46	30.4056	72.2	0.0428308	410.555		144650	102776	23.3635473	131521	8.63571e-04	0.2264577
20.9	26.2	23.55	3.74767	45.5	0.967137	0.971538	0.014817	0.0132658	0.969338	0.00311223	0.983607	0.396781	0.204233	0.241309	0.158852	0.300507	0.136152	0.224057	0.10621	0.133221	0.0873653	0.0983424	0.119715	0.0190991	113.9	213.2	151.856	160.301	163.55	70.2157	285	0.0280599	34607.6		60265	129641	38.6352829	31293	6.30362e-04	0.1256925
12	16.1	14.05	2.89914	25	0.902218	0.933974	0.0261709	0.0137849	0.918096	0.0224553	0.954186	0.686939	0.530353	0.172404	0.278363	0.608646	0.110723	0.558206	0.276778	0.371225	0.127005	0.173408	0.324002	0.0667835	17.3	39.7	5.03433	24.9936	28.5	15.8392	50.5	0.0692504	610.288		41143	109732	11.2119016	118254	2.45966e-04	0.1226090
12.8	13.5	13.15	0.494975	22.4	0.907056	0.918077	0.0283288	0.0184846	0.912567	0.00779265	0.947613	0.600612	0.689636	0.156718	0.206628	0.645124	0.0629494	0.696547	0.414939	0.43971	0.164046	0.1783	0.427325	0.0175155	21.9	21.4	7.89444	10.9767	21.65	0.353553	34.9	0.0699918	337.085		8716	117187	3.5923883	119248	2.32753e-04	0.1818275
7.5	8	7.75	0.353553	14.9	0.829637	0.79641	0.0294973	0.0516645	0.813024	0.0234949	0.899296	0.871368	0.823889	0.127742	0.165636	0.847628	0.0335725	0.409313	0.213204	0.236109	0.119039	0.169746	0.224657	0.0161968	7.9	9.4	2.64365	4.22164	8.65	1.06066	42.7	0.178351	1495.66		26939	112347	88.3302304	156564	5.38547e-04	0.1184790
