S_1	S_2	prS_1	prS_2	mean_S	sd_S	tot_S	D_1	D_2	mean_D	sd_D	Pi_1	Pi_2	mean_Pi	sd_Pi	FST_2_1	PI_2_1	
33	20	22	9	26.5	9.19239	42	0.938204	-0.0092042	0.4645	0.669919	12.4	5.22769	8.81385	5.07159	0.365394	13.2026	
15	16	8	9	15.5	0.707107	24	0.969387	0.437253	0.70332	0.376276	5.73333	4.71692	5.22513	0.718711	0.0725062	5.60769	
11	10	6	5	10.5	0.707107	16	-2.18331	-1.70101	-1.94216	0.341039	1.46667	1.25846	1.36256	0.147223	-0.00624224	1.35128	
7	24	7	24	15.5	12.0208	31	-0.892887	-0.444304	-0.668595	0.317196	1.61905	5.52308	3.57106	2.76057	0.983418	248.069	
9	10	3	4	9.5	0.707107	13	-0.18875	0.224068	0.0176587	0.291906	2.62857	2.8	2.71429	0.121218	0.0259576	2.78974	
10	9	3	2	9.5	0.707107	12	0.531323	0.983044	0.757184	0.319415	3.50476	3.08	3.29238	0.300352	-0.0470356	3.14103	
17	30	4	17	23.5	9.19239	34	-0.0365535	-1.31605	-0.676304	0.904743	5.18095	5.07385	5.1274	0.0757355	0.0977133	5.67949	
19	17	5	3	18	1.41421	22	-1.40648	-0.690822	-1.04865	0.506048	3.82857	3.58154	3.70505	0.174679	-0.016748	3.64103	
604	29	583	8	316.5	406.586	612	-2.49042	-0.452503	-1.47146	1.44102	81.8095	6.67077	44.2401	53.1311	0.939029	561.308	
648	16	635	3	332	446.891	651	-0.848425	-0.312463	-0.580444	0.378982	161.305	3.81846	82.5616	111.36	0.119826	88.5	
52	56	10	14	54	2.82843	66	-0.691139	0.983748	0.146305	1.18432	13.4286	18.4338	15.9312	3.53926	0.153832	19.0282	
71	69	13	11	70	1.41421	82	0.620991	1.5818	1.1014	0.679394	24.9524	25.4708	25.2116	0.366556	0.0700293	27.1231	
9	10	3	4	9.5	0.707107	13	0.482154	0.881129	0.681642	0.282118	3.12381	3.32615	3.22498	0.143079	0.123094	3.68462	
26	32	9	15	29	4.24264	41	0.161052	-0.655742	-0.247345	0.57756	8.30476	6.91077	7.60777	0.985702	0.072769	8.16923	
3	0	3	0	1.5	2.12132	3	-1.685	0	-0.842502	1.19148	0.4	0	0.2	0.282843	0.0387324	0.2	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7	5	4	2	6	1.41421	9	0.317911	0.972614	0.645262	0.462944	2.34286	1.76	2.05143	0.412142	0.039076	2.12308	
21	30	9	18	25.5	6.36396	39	-0.740519	-0.100309	-0.420414	0.452697	5.29524	7.64923	6.47223	1.66452	0.0999086	7.26154	
6	2	4	0	4	2.82843	6	-0.537588	1.88188	0.672148	1.71083	1.5619	0.984615	1.27326	0.408205	0.122161	1.43077	
41	45	6	10	43	2.82843	51	0.61647	-0.244685	0.185893	0.608928	14.4286	11.0338	12.7312	2.40043	0.0696939	13.6	
