S_1	S_2	prS_1	prS_2	mean_S	sd_S	tot_S	D_1	D_2	mean_D	sd_D	Pi_1	Pi_2	mean_Pi	sd_Pi	FST_2_1	PI_2_1	
19	19	7	7	19	0	26	1.26618	-1.03412	0.116031	1.62656	7.65714	3.53538	5.59626	2.91452	0.307801	7.76667	
1	19	1	19	10	12.7279	20	1.12241	0.812823	0.967615	0.21891	0.47619	6.11385	3.29502	3.98642	0.230622	4.60256	
134	30	127	23	82	73.5391	157	2.83568	-0.251369	1.29216	2.18287	67.7524	7.32923	37.5408	42.7256	0.557015	73.1564	
696	726	0	30	711	21.2132	726	2.35469	2.49258	2.42363	0.0974969	327.257	308.951	318.104	12.9446	-0.0350003	307.169	
59	47	20	8	53	8.48528	67	1.23766	-2.36395	-0.563144	2.54673	23.3333	4.67692	14.0051	13.1921	0.415031	21.8051	
1	4	1	4	2.5	2.12132	5	-0.398828	-1.39336	-0.896095	0.703242	0.247619	0.501538	0.374579	0.179548	0.0559296	0.402564	
5	9	0	4	7	2.82843	9	-0.239445	-1.15508	-0.697264	0.647453	1.42857	1.51077	1.46967	0.0581226	-0.0333331	1.42308	
437	449	6	18	443	8.48528	455	2.84142	0.272449	1.55693	1.81653	220.305	125.705	173.005	66.8924	0.0952276	188.441	
7	21	0	14	14	9.89949	21	-1.84878	-1.97701	-1.9129	0.0906746	1.04762	2.48308	1.76535	1.01502	0.00184279	1.78974	
12	18	2	8	15	4.24264	20	0.165825	-0.816598	-0.325386	0.694678	3.84762	3.63077	3.73919	0.153336	0.0353083	3.87179	
72	71	14	13	71.5	0.707107	85	0.645727	1.67946	1.16259	0.73096	25.4286	26.6708	26.0497	0.878366	-0.0265352	25.3897	
47	46	10	9	46.5	0.707107	56	1.14992	-2.29604	-0.57306	2.43667	18.3238	4.78462	11.5542	9.57366	0.200146	13.7718	
195	242	7	54	218.5	33.234	249	1.97677	1.47903	1.7279	0.35196	86.781	87.0554	86.9182	0.194053	-0.0334486	84.1077	
351	352	6	7	351.5	0.707107	358	2.31163	0.833965	1.5728	1.04487	164.143	111.569	137.856	37.1752	0.343312	205.29	
8	10	6	8	9	1.41421	16	-0.460961	-0.701966	-0.581464	0.170417	2.15238	2.05846	2.10542	0.0664111	0.0290535	2.16667	
79	80	1	2	79.5	0.707107	81	-0.849894	0.808539	-0.0206773	1.17269	19.5619	25.3231	22.4425	4.07376	-0.0415821	21.5974	
44	36	13	5	40	5.65685	49	0.329162	0.661471	0.495317	0.234978	14.5714	11.0954	12.8334	2.45793	-0.00741251	12.6923	
181	189	4	12	185	5.65685	193	-1.97152	0.220284	-0.875619	1.54984	30.8286	52.2862	41.5574	15.1728	-0.0204479	40.9744	
138	136	13	11	137	1.41421	149	1.99827	2.8862	2.44223	0.627862	61.6952	61.7662	61.7307	0.050145	-0.0234352	60.3179	
21	5	18	2	13	11.3137	23	-1.78337	-1.21009	-1.49673	0.405369	3.65714	0.750769	2.20396	2.05512	0.068994	2.29487	
18	19	3	4	18.5	0.707107	22	1.05305	1.20293	1.12799	0.105982	6.97143	6.65846	6.81495	0.221301	-0.011516	6.73333	
46	67	7	28	56.5	14.8492	74	-0.541638	0.564989	0.0116755	0.782503	12.3619	20.1231	16.2425	5.48798	0.140978	19.2	
40	45	9	14	42.5	3.53553	54	1.65987	-1.52274	0.0685657	2.25044	17.0857	7.07077	12.0782	7.08164	0.278041	16.041	
36	41	5	10	38.5	3.53553	46	-0.0895945	-0.379239	-0.234417	0.20481	10.8381	9.66769	10.2529	0.8276	-0.00769071	10.159	
23	23	11	11	23	0	34	-0.806489	-1.40744	-1.10697	0.424938	5.69524	3.69231	4.69377	1.41629	0.135966	5.35897	
15	22	6	13	18.5	4.94975	28	-0.29986	0.226499	-0.0366806	0.372192	4.26667	6.12615	5.19641	1.31486	0.0165885	5.31538	
2	2	1	1	2	0	3	-1.00161	-0.720969	-0.861288	0.198441	0.380952	0.347692	0.364322	0.0235184	-0.0361861	0.351282	
21	23	8	10	22	1.41421	31	-0.619257	-0.676717	-0.647987	0.0406299	5.48571	4.90462	5.19516	0.410899	0.0153871	5.26667	
62	83	8	29	72.5	14.8492	91	1.21223	1.08003	1.14613	0.0934824	24.4	27.7846	26.0923	2.39328	0.0859929	28.641	
144	147	7	10	145.5	2.12132	154	2.48685	1.95492	2.22089	0.376129	69.2762	57.6246	63.4504	8.23891	-0.0114099	62.5846	
157	169	2	14	163	8.48528	171	-0.676902	-1.5263	-1.1016	0.600619	40.8762	27.1785	34.0273	9.68576	-0.0111793	33.4744	
23	20	9	6	21.5	2.12132	29	0.152026	1.02004	0.586033	0.613779	7.33333	6.73231	7.03282	0.424989	-0.0294072	6.82564	
15	18	4	7	16.5	2.12132	22	0.0957496	-0.342417	-0.123334	0.309831	4.72381	4.26154	4.49267	0.326875	0.0979347	4.96667	
592	591	10	9	591.5	0.707107	601	2.39049	-2.28747	0.0515128	3.30782	279.867	66.1323	172.999	151.133	0.226793	211.81	
1	1	0	0	1	0	1	0.742099	0.380877	0.561488	0.255422	0.419048	0.323077	0.371062	0.0678615	-0.0385282	0.35641	
3	1	2	0	2	1.41421	3	-1.685	-0.713854	-1.19943	0.686707	0.4	0.147692	0.273846	0.178408	-0.0150386	0.266667	
16	3	16	3	9.5	9.19239	19	0.321328	-0.965285	-0.321979	0.909773	5.31429	0.476923	2.8956	3.42053	0.242935	3.5359	
24	508	5	489	266	342.24	513	-0.701734	2.62855	0.96341	2.35487	6.13333	220.84	113.487	151.821	0.212969	155.495	
12	12	5	5	12	0	17	0.66851	-0.049503	0.309503	0.507712	4.32381	3.09846	3.71114	0.866452	0.0729379	3.97179	
285	293	4	12	289	5.65685	297	2.7694	-0.737132	1.01613	2.47949	142.381	62.5446	102.463	56.4528	0.16148	118.872	
117	121	0	4	119	2.82843	121	0.525492	1.46483	0.995163	0.664216	40.2857	43.5323	41.909	2.29569	-0.0524086	39.8462	
5	9	1	5	7	2.82843	10	1.43195	0.0439455	0.737949	0.981469	2.19048	2.39077	2.29062	0.141629	0.040861	2.39231	
38	44	11	17	41	4.24264	55	1.00957	0.700024	0.854797	0.218882	14.4571	13.6554	14.0563	0.566929	0.0379624	14.5949	
227	227	8	8	227	0	235	2.60078	3.12359	2.86219	0.369678	110.819	106.345	108.582	3.1639	0.0073873	109.321	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
150	209	11	70	179.5	41.7193	220	-0.951117	-0.631932	-0.791524	0.225698	36.181	46.0338	41.1074	6.96705	0.0393857	42.9923	
0	1	0	1	0.5	0.707107	1	0	0.668964	0.334482	0.473029	0	0.369231	0.184615	0.261086	0.147075	0.230769	
450	456	4	10	453	4.24264	460	2.84478	2.05123	2.44801	0.561124	226.952	180.975	203.964	32.5106	0.161057	241.21	
32	40	8	16	36	5.65685	48	-0.471425	-0.362489	-0.416957	0.0770295	8.74286	9.47692	9.10989	0.519063	5.48917e-07	9.12051	
63	67	6	10	65	2.82843	73	1.71945	0.316277	1.01786	0.992192	27.0571	18.9938	23.0255	5.70161	0.0460993	23.9667	
3	6	0	3	4.5	2.12132	6	-1.685	-0.897869	-1.29144	0.556589	0.4	1.09538	0.747692	0.491711	-0.0107951	0.748718	
4	5	0	1	4.5	0.707107	5	-0.922471	-0.518015	-0.720243	0.285993	0.87619	1.07077	0.97348	0.137588	-0.0448463	0.933333	
4	5	1	2	4.5	0.707107	6	-1.26993	-1.3698	-1.31987	0.0706209	0.742857	0.676923	0.70989	0.0466224	0.0336514	0.733333	
172	171	2	1	171.5	0.707107	173	0.491978	2.69648	1.59423	1.55882	58.7905	75.3908	67.0906	11.7382	-0.0237033	65.7231	
