S_1	S_2	prS_1	prS_2	mean_S	sd_S	tot_S	D_1	D_2	mean_D	sd_D	Pi_1	Pi_2	mean_Pi	sd_Pi	FST_2_1	PI_2_1	
7	57	5	55	32	35.3553	62	0.126733	0.0612724	0.0940025	0.0462873	2.22857	15.1754	8.70198	9.15478	0.925211	139.128	
10	26	10	26	18	11.3137	36	-1.16596	0.262956	-0.4515	1.01039	2.13333	7.30154	4.71744	3.65447	0.991568	645.249	
27	43	24	40	35	11.3137	67	-0.0474386	0.887608	0.420085	0.661178	8.20952	13.9046	11.0571	4.02704	0.895573	112.854	
3	15	3	15	9	8.48528	18	0.894248	1.40878	1.15151	0.363829	1.2	5.52615	3.36308	3.05905	0.954821	87.3949	
42	18	42	18	30	16.9706	60	-0.890156	-0.550594	-0.720375	0.240106	10.2286	3.98462	7.10659	4.41514	0.951886	130.192	
23	11	23	11	17	8.48528	34	-0.160049	-0.198138	-0.179094	0.0269332	6.8	2.71077	4.75538	2.89152	0.974343	163.387	
19	11	18	10	15	5.65685	29	-2.15111	0.514881	-0.818112	1.88514	2.7619	3.32923	3.04557	0.40116	0.99027	321.159	
19	8	19	8	13.5	7.77817	27	-1.67242	-1.06756	-1.36999	0.427701	3.44762	1.38462	2.41612	1.45876	0.9945	386.672	
16	4	16	4	10	8.48528	20	0.290226	-0.85225	-0.281012	0.807852	5.27619	0.713846	2.99502	3.22606	0.965559	68.8564	
12	64	11	63	38	36.7696	75	0.608188	0.505873	0.55703	0.0723471	4.26667	18.9692	11.6179	10.3963	0.931162	197.033	
23	27	22	26	25	2.82843	49	0.330354	-1.41957	-0.544606	1.23738	7.6381	4.34769	5.99289	2.32667	0.986497	409.872	
34	3	34	3	18.5	21.9203	37	0.540441	1.43578	0.98811	0.6331	11.7905	1.24615	6.51832	7.45596	0.975033	202.849	
9	11	9	11	10	1.41421	20	-0.550006	-0.563516	-0.556761	0.00955313	2.3619	2.39385	2.37788	0.022586	0.991723	287.838	
2	26	1	25	14	16.9706	27	-0.594191	-0.507932	-0.551062	0.0609936	0.47619	5.87077	3.17348	3.81454	0.978409	181.531	
22	11	22	11	16.5	7.77817	33	-0.780698	-0.552874	-0.666786	0.161095	5.48571	2.40308	3.9444	2.17975	0.937598	56.6333	
41	21	37	17	31	14.1421	58	0.180793	-0.988045	-0.403626	0.826493	13.1429	3.99385	8.56835	6.46933	0.946966	138.392	
13	2	13	2	7.5	7.77817	15	-0.560107	0.284965	-0.137571	0.597556	3.42857	0.593846	2.01121	2.00445	0.955177	36.3103	
