S_1	S_2	prS_1	prS_2	mean_S	sd_S	tot_S	D_1	D_2	mean_D	sd_D	Pi_1	Pi_2	mean_Pi	sd_Pi	FST_2_1	PI_2_1		NPOP1	NPOP2	RSANC	Nem	T2	T1	MUTRATE	MIG21
33	20	22	9	26.5	9.19239	42	0.938204	-0.0092042	0.4645	0.669919	12.4	5.22769	8.81385	5.07159	0.365394	13.2026		37873	18160	88.4362589	3.4430375	66861	85861	9.71386e-08	1.89595e-04
15	16	8	9	15.5	0.707107	24	0.969387	0.437253	0.70332	0.376276	5.73333	4.71692	5.22513	0.718711	0.0725062	5.60769		48852	19620	84.9431484	1.3500397	64795	44653	1.55503e-07	6.88094e-05
11	10	6	5	10.5	0.707107	16	-2.18331	-1.70101	-1.94216	0.341039	1.46667	1.25846	1.36256	0.147223	-0.00624224	1.35128		41653	49357	0.9473197	7.2957414	105818	190145	1.50976e-07	1.47816e-04
7	24	7	24	15.5	12.0208	31	-0.892887	-0.444304	-0.668595	0.317196	1.61905	5.52308	3.57106	2.76057	0.983418	248.069		37899	12484	35.8412129	0.9026434	15605	418037	1.58553e-07	7.23040e-05
9	10	3	4	9.5	0.707107	13	-0.18875	0.224068	0.0176587	0.291906	2.62857	2.8	2.71429	0.121218	0.0259576	2.78974		41471	9837	45.9076534	9.2042426	6825	77375	8.96164e-08	9.35676e-04
10	9	3	2	9.5	0.707107	12	0.531323	0.983044	0.757184	0.319415	3.50476	3.08	3.29238	0.300352	-0.0470356	3.14103		33440	24741	12.5365293	3.8156499	94936	196581	1.60540e-07	1.54224e-04
17	30	4	17	23.5	9.19239	34	-0.0365535	-1.31605	-0.676304	0.904743	5.18095	5.07385	5.1274	0.0757355	0.0977133	5.67949		18359	30318	54.6957030	9.9084906	90350	104391	1.46403e-07	3.26819e-04
19	17	5	3	18	1.41421	22	-1.40648	-0.690822	-1.04865	0.506048	3.82857	3.58154	3.70505	0.174679	-0.016748	3.64103		39248	8592	31.3697092	8.3245316	111325	460694	1.53166e-07	9.68870e-04
604	29	583	8	316.5	406.586	612	-2.49042	-0.452503	-1.47146	1.44102	81.8095	6.67077	44.2401	53.1311	0.939029	561.308		16398	36501	12.5537084	8.5726861	85543	84058	1.28338e-07	2.34862e-04
648	16	635	3	332	446.891	651	-0.848425	-0.312463	-0.580444	0.378982	161.305	3.81846	82.5616	111.36	0.119826	88.5		31866	22860	22.7532048	1.4269621	61755	156375	1.53714e-07	6.24218e-05
52	56	10	14	54	2.82843	66	-0.691139	0.983748	0.146305	1.18432	13.4286	18.4338	15.9312	3.53926	0.153832	19.0282		13571	40004	95.8685633	0.5896554	28237	251144	1.62282e-07	1.47399e-05
71	69	13	11	70	1.41421	82	0.620991	1.5818	1.1014	0.679394	24.9524	25.4708	25.2116	0.366556	0.0700293	27.1231		18054	21875	25.4355901	7.8037726	15555	382099	1.67099e-07	3.56744e-04
9	10	3	4	9.5	0.707107	13	0.482154	0.881129	0.681642	0.282118	3.12381	3.32615	3.22498	0.143079	0.123094	3.68462		25909	14591	32.5581197	3.9876928	88082	496408	1.21130e-07	2.73298e-04
26	32	9	15	29	4.24264	41	0.161052	-0.655742	-0.247345	0.57756	8.30476	6.91077	7.60777	0.985702	0.072769	8.16923		603	40605	54.0081527	4.8465842	75199	474757	9.86260e-08	1.19359e-04
3	0	3	0	1.5	2.12132	3	-1.685	0	-0.842502	1.19148	0.4	0	0.2	0.282843	0.0387324	0.2		19834	2306	6.6712444	3.5740259	97119	258646	6.74316e-08	0.0015499
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		3274	27485	86.0745375	3.7120957	79793	255828	1.62575e-07	1.35059e-04
7	5	4	2	6	1.41421	9	0.317911	0.972614	0.645262	0.462944	2.34286	1.76	2.05143	0.412142	0.039076	2.12308		1640	6679	33.2386037	6.6784586	46156	27944	8.26552e-08	9.99919e-04
21	30	9	18	25.5	6.36396	39	-0.740519	-0.100309	-0.420414	0.452697	5.29524	7.64923	6.47223	1.66452	0.0999086	7.26154		43146	13934	83.5725921	0.8832738	35395	388051	1.61002e-07	6.33898e-05
6	2	4	0	4	2.82843	6	-0.537588	1.88188	0.672148	1.71083	1.5619	0.984615	1.27326	0.408205	0.122161	1.43077		1462	22123	5.5626798	1.4657477	119301	32231	1.68832e-07	6.62545e-05
41	45	6	10	43	2.82843	51	0.61647	-0.244685	0.185893	0.608928	14.4286	11.0338	12.7312	2.40043	0.0696939	13.6		40289	37123	85.2587494	0.7580644	79963	320056	1.54490e-07	2.04203e-05
13	13	6	6	13	0	19	-0.953505	0.430125	-0.26169	0.978374	3.02857	3.83692	3.43275	0.571591	0.0492602	3.62821		46708	13523	24.7469963	8.3599364	90157	344987	1.61951e-07	6.18201e-04
50	34	35	19	42	11.3137	69	-0.804256	-0.824297	-0.814276	0.0141716	12.5048	6.94769	9.72623	3.92944	0.0273639	9.89744		27205	38199	57.2397074	5.6620989	64750	126183	9.26466e-08	1.48226e-04
12	335	2	325	173.5	228.395	337	1.35216	0.963126	1.15764	0.275089	4.97143	109.037	57.0042	73.5854	0.108331	67.2179		4627	165	36.9309826	9.6699498	97479	75875	1.68753e-07	0.0586058
