S_1	S_2	prS_1	prS_2	mean_S	sd_S	tot_S	D_1	D_2	mean_D	sd_D	Pi_1	Pi_2	mean_Pi	sd_Pi	FST_2_1	PI_2_1		NPOP1	NPOP2	RSANC	Nem	T2	T1	MUTRATE	MIG12	MIG21
19	19	7	7	19	0	26	1.26618	-1.03412	0.116031	1.62656	7.65714	3.53538	5.59626	2.91452	0.307801	7.76667		30080	16991	84.1817599	1.8047554	43678	350966	1.17828e-07	5.99985e-05	1.06218e-04
1	19	1	19	10	12.7279	20	1.12241	0.812823	0.967615	0.21891	0.47619	6.11385	3.29502	3.98642	0.230622	4.60256		8003	10839	86.9092843	7.4784099	102440	153381	9.93488e-08	9.34451e-04	6.89954e-04
134	30	127	23	82	73.5391	157	2.83568	-0.251369	1.29216	2.18287	67.7524	7.32923	37.5408	42.7256	0.557015	73.1564		19453	21631	94.2240285	0.4764880	110353	422375	1.53100e-07	2.44943e-05	2.20280e-05
696	726	0	30	711	21.2132	726	2.35469	2.49258	2.42363	0.0974969	327.257	308.951	318.104	12.9446	-0.0350003	307.169		18437	42663	25.0235520	7.3173635	67987	73070	7.50791e-08	3.96885e-04	1.71515e-04
59	47	20	8	53	8.48528	67	1.23766	-2.36395	-0.563144	2.54673	23.3333	4.67692	14.0051	13.1921	0.415031	21.8051		4399	35697	38.7858909	3.5170151	99982	33836	1.07678e-07	7.99503e-04	9.85241e-05
1	4	1	4	2.5	2.12132	5	-0.398828	-1.39336	-0.896095	0.703242	0.247619	0.501538	0.374579	0.179548	0.0559296	0.402564		49905	33393	71.2372504	5.6844433	79050	261504	1.38267e-07	1.13905e-04	1.70229e-04
5	9	0	4	7	2.82843	9	-0.239445	-1.15508	-0.697264	0.647453	1.42857	1.51077	1.46967	0.0581226	-0.0333331	1.42308		46871	28015	80.8613043	9.4899867	67970	158377	1.20047e-07	2.02470e-04	3.38747e-04
437	449	6	18	443	8.48528	455	2.84142	0.272449	1.55693	1.81653	220.305	125.705	173.005	66.8924	0.0952276	188.441		46814	21076	66.0616771	7.8781802	59514	205253	9.26656e-08	1.68287e-04	3.73799e-04
7	21	0	14	14	9.89949	21	-1.84878	-1.97701	-1.9129	0.0906746	1.04762	2.48308	1.76535	1.01502	0.00184279	1.78974		27182	38721	78.5678660	3.3811868	6754	390696	1.27769e-07	1.24391e-04	8.73218e-05
12	18	2	8	15	4.24264	20	0.165825	-0.816598	-0.325386	0.694678	3.84762	3.63077	3.73919	0.153336	0.0353083	3.87179		29556	17363	5.6851534	8.7854436	94049	252822	1.12201e-07	2.97247e-04	5.05987e-04
72	71	14	13	71.5	0.707107	85	0.645727	1.67946	1.16259	0.73096	25.4286	26.6708	26.0497	0.878366	-0.0265352	25.3897		44862	31308	53.3006268	9.4427039	54485	87822	1.26707e-07	2.10483e-04	3.01607e-04
47	46	10	9	46.5	0.707107	56	1.14992	-2.29604	-0.57306	2.43667	18.3238	4.78462	11.5542	9.57366	0.200146	13.7718		19439	41965	48.3046804	9.9186662	48088	146486	1.44056e-07	5.10246e-04	2.36356e-04
195	242	7	54	218.5	33.234	249	1.97677	1.47903	1.7279	0.35196	86.781	87.0554	86.9182	0.194053	-0.0334486	84.1077		33964	30332	76.1885724	2.0553886	90910	169511	7.93151e-08	6.05167e-05	6.77630e-05
351	352	6	7	351.5	0.707107	358	2.31163	0.833965	1.5728	1.04487	164.143	111.569	137.856	37.1752	0.343312	205.29		46001	10401	13.0426138	7.2789625	112453	79684	1.69283e-07	1.58235e-04	6.99833e-04
8	10	6	8	9	1.41421	16	-0.460961	-0.701966	-0.581464	0.170417	2.15238	2.05846	2.10542	0.0664111	0.0290535	2.16667		6838	31675	36.9941655	1.4698451	61027	16242	1.64263e-07	2.14952e-04	4.64039e-05
79	80	1	2	79.5	0.707107	81	-0.849894	0.808539	-0.0206773	1.17269	19.5619	25.3231	22.4425	4.07376	-0.0415821	21.5974		2506	18428	4.0639100	7.8679811	101070	243766	1.01739e-07	0.0031397	4.26958e-04
44	36	13	5	40	5.65685	49	0.329162	0.661471	0.495317	0.234978	14.5714	11.0954	12.8334	2.45793	-0.00741251	12.6923		2708	22377	21.9269843	1.1495484	72931	230216	1.55832e-07	4.24501e-04	5.13719e-05
181	189	4	12	185	5.65685	193	-1.97152	0.220284	-0.875619	1.54984	30.8286	52.2862	41.5574	15.1728	-0.0204479	40.9744		22473	44837	88.5604816	6.1233452	109426	34767	1.44264e-07	2.72476e-04	1.36569e-04
138	136	13	11	137	1.41421	149	1.99827	2.8862	2.44223	0.627862	61.6952	61.7662	61.7307	0.050145	-0.0234352	60.3179		7467	25052	99.9962511	3.7621118	101521	270001	1.28880e-07	5.03832e-04	1.50172e-04
21	5	18	2	13	11.3137	23	-1.78337	-1.21009	-1.49673	0.405369	3.65714	0.750769	2.20396	2.05512	0.068994	2.29487		1812	49750	65.4940735	3.1995548	106200	264814	1.25069e-07	0.0017658	6.43127e-05
18	19	3	4	18.5	0.707107	22	1.05305	1.20293	1.12799	0.105982	6.97143	6.65846	6.81495	0.221301	-0.011516	6.73333		1641	15130	34.3672514	2.7341925	56704	117036	9.86793e-08	0.0016662	1.80713e-04
46	67	7	28	56.5	14.8492	74	-0.541638	0.564989	0.0116755	0.782503	12.3619	20.1231	16.2425	5.48798	0.140978	19.2		13102	40453	66.0680048	5.4101241	105715	272607	1.44917e-07	4.12924e-04	1.33739e-04
40	45	9	14	42.5	3.53553	54	1.65987	-1.52274	0.0685657	2.25044	17.0857	7.07077	12.0782	7.08164	0.278041	16.041		39496	45049	45.8845322	5.7494506	27644	170831	1.13779e-07	1.45570e-04	1.27627e-04
36	41	5	10	38.5	3.53553	46	-0.0895945	-0.379239	-0.234417	0.20481	10.8381	9.66769	10.2529	0.8276	-0.00769071	10.159		14328	41007	77.3941156	0.4582384	26602	141411	7.84419e-08	3.19820e-05	1.11746e-05
23	23	11	11	23	0	34	-0.806489	-1.40744	-1.10697	0.424938	5.69524	3.69231	4.69377	1.41629	0.135966	5.35897		26889	39987	16.9169396	1.8296290	30529	314683	8.62991e-08	6.80438e-05	4.57556e-05
15	22	6	13	18.5	4.94975	28	-0.29986	0.226499	-0.0366806	0.372192	4.26667	6.12615	5.19641	1.31486	0.0165885	5.31538		33942	48245	46.7050978	9.8423825	37475	267975	8.80139e-08	2.89977e-04	2.04008e-04
2	2	1	1	2	0	3	-1.00161	-0.720969	-0.861288	0.198441	0.380952	0.347692	0.364322	0.0235184	-0.0361861	0.351282		39954	32173	35.3777962	9.5624988	73625	55498	1.34230e-07	2.39338e-04	2.97221e-04
21	23	8	10	22	1.41421	31	-0.619257	-0.676717	-0.647987	0.0406299	5.48571	4.90462	5.19516	0.410899	0.0153871	5.26667		2119	30518	74.2568235	5.1161777	56507	17839	1.20696e-07	0.0024144	1.67645e-04
62	83	8	29	72.5	14.8492	91	1.21223	1.08003	1.14613	0.0934824	24.4	27.7846	26.0923	2.39328	0.0859929	28.641		11764	4136	46.0982689	6.0940919	10477	455632	9.54624e-08	5.18029e-04	0.0014734
144	147	7	10	145.5	2.12132	154	2.48685	1.95492	2.22089	0.376129	69.2762	57.6246	63.4504	8.23891	-0.0114099	62.5846		26205	6307	33.7611149	0.4397319	113051	201674	1.52827e-07	1.67805e-05	6.97213e-05
157	169	2	14	163	8.48528	171	-0.676902	-1.5263	-1.1016	0.600619	40.8762	27.1785	34.0273	9.68576	-0.0111793	33.4744		16077	17430	92.2264745	1.6487570	92179	355929	1.46677e-07	1.02554e-04	9.45931e-05
23	20	9	6	21.5	2.12132	29	0.152026	1.02004	0.586033	0.613779	7.33333	6.73231	7.03282	0.424989	-0.0294072	6.82564		19008	36927	52.4884978	9.6300228	27237	325321	1.62532e-07	5.06630e-04	2.60785e-04
15	18	4	7	16.5	2.12132	22	0.0957496	-0.342417	-0.123334	0.309831	4.72381	4.26154	4.49267	0.326875	0.0979347	4.96667		36738	12927	90.6640838	7.0568110	64359	425210	1.32335e-07	1.92085e-04	5.45897e-04
592	591	10	9	591.5	0.707107	601	2.39049	-2.28747	0.0515128	3.30782	279.867	66.1323	172.999	151.133	0.226793	211.81		3212	3252	15.1813862	9.6533843	25608	140915	1.32292e-07	0.0030054	0.0029684
1	1	0	0	1	0	1	0.742099	0.380877	0.561488	0.255422	0.419048	0.323077	0.371062	0.0678615	-0.0385282	0.35641		45542	32099	18.3494926	2.0177957	48187	64153	7.49796e-08	4.43063e-05	6.28616e-05
3	1	2	0	2	1.41421	3	-1.685	-0.713854	-1.19943	0.686707	0.4	0.147692	0.273846	0.178408	-0.0150386	0.266667		20441	4674	58.4489728	7.0667274	97879	307385	1.21394e-07	3.45713e-04	0.0015119
16	3	16	3	9.5	9.19239	19	0.321328	-0.965285	-0.321979	0.909773	5.31429	0.476923	2.8956	3.42053	0.242935	3.5359		28837	30540	97.5073542	0.0285040	106391	62684	1.24456e-07	9.88454e-07	9.33335e-07
24	508	5	489	266	342.24	513	-0.701734	2.62855	0.96341	2.35487	6.13333	220.84	113.487	151.821	0.212969	155.495		46793	2850	41.0564104	9.9178911	95854	325297	7.92038e-08	2.11952e-04	0.0034800
12	12	5	5	12	0	17	0.66851	-0.049503	0.309503	0.507712	4.32381	3.09846	3.71114	0.866452	0.0729379	3.97179		48719	39714	8.8233298	3.2449188	78473	94747	1.36244e-07	6.66048e-05	8.17072e-05
285	293	4	12	289	5.65685	297	2.7694	-0.737132	1.01613	2.47949	142.381	62.5446	102.463	56.4528	0.16148	118.872		47975	45490	43.5462283	6.2606124	7476	476223	1.42343e-07	1.30497e-04	1.37626e-04
